registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type
2017,1197,3,1,40000,1,4,83,5,21.4,7
2018,1498,3,0,70000,1,1,118,5,17.6,16
2015,1197,3,1,70000,2,4,83,5,20.85,19
2015,1197,3,1,70000,2,4,83,5,20.85,19
2014,1197,3,1,80000,1,4,78,5,19.81,7
2015,1197,3,1,70000,1,4,81,5,17.19,7
2017,1197,3,1,80000,1,1,78,5,21.63,7
2014,1197,3,1,60000,2,4,78,5,19.81,7
2016,1197,3,1,33000,1,4,78,5,17.0,14
2014,1198,3,1,70000,1,4,86,5,18.0,19
2018,1197,3,1,60000,2,4,81,5,20.14,19
2019,1462,3,1,50000,3,4,103,5,21.56,19
2019,1493,3,1,60000,1,1,98,5,21.63,21
2019,1396,3,1,60000,1,1,89,5,21.63,21
2019,1197,3,0,33000,1,4,78,5,21.63,7
2016,1197,3,1,40000,1,0,78,5,21.63,7
2014,1496,3,1,50000,2,4,88,5,17.6,19
2014,1364,3,1,80000,1,1,87,5,21.43,19
2019,1197,3,1,33000,1,4,118,5,18.2,21
2019,1462,3,1,33000,2,4,103,5,20.65,19
2014,1498,3,1,80000,3,1,89,5,21.63,21
2014,1498,3,0,80000,2,4,118,5,17.0,21
2015,1248,3,1,33000,1,1,78,5,21.63,19
2014,1197,3,1,80000,3,4,78,5,20.92,7
2014,1498,3,0,80000,2,4,118,5,17.0,21
2019,1197,3,1,40000,1,4,81,5,21.01,7
2018,1197,3,1,60000,2,4,81,5,20.14,19
2015,1197,3,1,80000,2,4,83,5,20.85,19
2014,1197,3,1,80000,1,4,78,5,21.63,7
2016,1197,3,1,70000,2,4,78,5,20.51,7
2015,1197,3,1,33000,1,4,82,5,18.9,7
2014,1248,3,1,80000,3,1,78,5,21.63,7
2014,1498,3,1,80000,3,1,118,5,17.0,21
2014,1498,3,1,80000,3,1,118,5,17.0,21
2014,1498,3,1,80000,2,1,118,5,17.0,21
2014,1498,3,1,80000,2,1,118,5,17.0,21
2018,1199,3,1,80000,1,4,84,5,21.63,7
2017,1248,3,1,80000,2,1,88,5,21.63,21
2019,1248,3,1,80000,1,1,88,5,21.63,16
2019,1197,3,1,33000,1,4,78,5,21.63,7
2017,1248,3,1,80000,1,1,88,5,21.63,21
2017,1396,3,1,80000,2,1,88,5,21.63,21
2019,1197,3,1,80000,1,4,78,5,21.63,7
2014,1498,3,1,80000,2,1,100,5,17.0,23
2014,1498,3,1,80000,1,1,102,5,17.0,16
2014,1248,3,1,80000,1,1,90,5,18.8,19
2014,1248,3,1,80000,1,1,90,5,18.8,19
2017,1197,3,1,33000,1,1,78,5,21.63,7
2017,1197,3,1,80000,1,0,78,5,21.63,14
2017,1197,3,1,80000,1,0,78,5,21.63,14
2017,1197,3,1,80000,1,0,78,5,21.63,14
2014,1498,3,0,33000,2,1,118,5,17.0,19
2019,1197,3,1,33000,1,4,81,5,21.0,7
2014,1199,3,1,80000,5,1,78,5,21.63,7
2019,1248,3,1,80000,2,1,88,5,21.63,21
2014,1197,3,1,33000,1,4,78,5,17.92,7
2016,1248,3,1,33000,1,1,78,5,21.63,19
2014,1197,3,1,80000,3,4,78,5,20.36,7
2019,1197,3,1,33000,1,4,81,5,17.52,21
2019,1197,3,1,33000,1,4,108,5,18.97,19
2014,1399,3,1,70000,1,1,78,5,20.0,7
2019,1197,3,1,33000,1,4,108,5,18.97,19
2019,1498,3,1,33000,1,1,118,5,17.0,21
2014,1197,3,1,50000,2,4,78,5,21.1,7
2015,1197,3,1,33000,1,4,82,5,18.9,7
2019,1199,3,1,33000,1,4,86,5,20.09,21
2016,1498,3,1,80000,1,1,88,5,20.14,7
2014,1364,3,1,40000,1,1,78,5,21.63,7
2017,1461,3,1,80000,1,1,83,5,19.87,21
2015,1197,3,1,33000,1,4,78,5,21.63,7
2014,1197,3,1,80000,2,4,78,5,18.9,7
2015,1498,3,1,50000,1,1,118,5,17.0,21
2019,1493,3,1,70000,1,1,113,5,20.8,21
2019,1248,3,1,50000,1,1,78,5,21.63,19
2019,1197,3,1,33000,1,4,78,5,21.63,7
2014,1461,3,1,80000,2,1,83,5,20.45,21
2019,1248,3,1,50000,1,1,78,5,21.63,19
2015,1197,3,1,60000,2,4,82,5,18.9,7
2014,1197,3,1,80000,2,4,78,5,18.9,7
2014,1197,3,1,60000,2,4,78,5,17.0,7
2019,1498,3,1,60000,2,1,98,5,21.63,7
2015,1498,3,1,80000,2,1,98,5,21.63,7
2017,1197,3,1,33000,2,4,78,5,19.81,7
2014,1197,3,1,80000,1,4,78,5,21.63,7
2019,1197,3,1,33000,1,4,88,5,21.63,19
2017,1498,3,1,80000,1,1,98,5,21.63,7
2017,1498,3,1,80000,1,1,97,5,21.63,19
2014,1197,3,1,80000,1,4,78,5,21.63,7
2015,1498,3,1,80000,1,1,118,5,17.0,21
2014,1197,3,1,80000,1,0,78,5,21.63,7
2014,1197,3,1,80000,1,4,78,5,21.63,7
2016,1197,3,1,60000,2,4,78,5,21.63,7
2014,1197,3,1,70000,3,4,82,5,18.9,7
2014,1197,3,1,60000,3,4,78,5,18.0,7
2014,1197,3,1,60000,2,4,78,5,18.0,7
2014,1197,3,1,80000,2,1,78,5,21.63,7
2014,1498,3,1,80000,2,4,103,5,17.0,19
2019,1197,3,1,40000,1,4,81,5,21.21,19
2014,1498,3,1,80000,1,1,118,5,17.0,21
2014,1498,3,1,80000,1,1,98,5,21.63,19
2019,1197,3,1,80000,2,4,83,5,21.4,7
2014,1248,3,1,80000,2,1,78,5,21.63,19
2014,1498,3,1,80000,4,1,98,5,21.63,19
2019,1248,3,1,80000,1,1,88,5,21.63,21
2018,1197,3,1,33000,1,4,78,5,21.63,7
2019,1199,3,1,33000,1,4,118,5,17.33,21
